Country,Features,Region,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
        Cyprus,net generation,Europe,3.168,3.338,3.558,3.809,3.948,4.114,4.373,4.579,4.775,4.856,5.00806,4.64494,4.4494,4.05522,4.10502,4.316208,4.670173,4.781059,4.8302456,4.916683,4.6534741,4.8776793
        Czechia,net generation,Europe,68.611,69.92992,71.66256,78.0634,78.9831,76.96922,78.5972,82.55662,78.30462,76.93744,77.694447,79.244128,79.668827,78.990421,78.254983,75.785457,75.324978,78.886881,79.9821752,79.1107549,73.9507328,76.6408673
        Denmark,net generation,Europe,34.22084,35.83744,37.36228,43.9208,38.60988,34.70892,43.47584,37.62304,35.076,34.851,37.913516,34.616036,30.258867,34.152282,31.85753,28.974012,30.197344,30.919752,30.4186372,29.8828185,28.9196916,32.7931727
        Estonia,net generation,Europe,8.00054,7.9855,8.09144,9.60974,9.68936,9.59936,9.15588,11.4673,9.95796,8.28482,11.804113,11.743832,10.652741,11.959914,11.180938,9.301154,10.641563,11.501345,11.1889412,6.8665502,5.9161313,6.653181
        Faroe Islands,net generation,Europe,0.204017,0.221173,0.230724,0.238492,0.239156,0.235753,0.249856,0.25942,0.264851,0.264517,0.268143,0.264,0.28,0.28,0.297,0.306,0.306,0.324,0.3398,0.371,0.4064,0.4223616
        Finland,net generation,Europe,67.0747,71.23686,71.53498,80.30388,82.06266,67.86486,78.8327,77.9372,74.3593,69.14244,77.72505,70.963659,68.234809,69.05982,66.168692,66.888647,67.011713,65.811381,68.5524094,67.0671163,67.5709779,69.6532502
        Former Czechoslovakia,net generation,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Serbia and Montenegro,net generation,Europe,31.842,32.745,33.032,33.24,35.69,34.546,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Former Yugoslavia,net generation,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        France,net generation,Europe,509.63366,519.4517,526.14238,533.6022,540.59828,544.67706,542.97918,538.14118,544.0015,507.40836,539.912655,543.204119,543.056111,552.39671,542.444671,550.247779,536.004261,532.963003,552.9287295,543.7815506,506.0036239,530.4178475
        Germany,net generation,Europe,540.11648,549.6969,549.97644,572.726,579.7422,577.6862,594.1134,598.5474,600.122,558.121,592.76104,575.676356,591.388791,601.497317,592.096504,611.510695,616.083534,620.117876,607.5568443,577.612099,545.3611372,557.1440648
"        Germany, East",net generation,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
"        Germany, West",net generation,Europe,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--
        Gibraltar,net generation,Europe,0.1175,0.11844,0.12126,0.12596,0.12784,0.1363,0.14194,0.1457,0.15604,0.16356,0.16638,0.16074,0.16544,0.17766,0.18612,0.21056,0.20116,0.20022,0.2021,0.20586,0.19545657,0.207965791
        Greece,net generation,Europe,50.26192,49.78354,50.6184,54.50368,55.37564,55.95374,56.7105,58.86248,59.09142,57.7506,53.498057,53.668572,53.654754,52.614029,46.636551,47.867296,50.431187,50.513953,50.0798786,45.5072992,42.5123637,52.4739582
        Hungary,net generation,Europe,33.23722,34.38844,34.14072,32.22422,31.86014,33.7422,33.65762,37.74876,37.70684,33.7298,34.960717,33.810596,32.587303,28.273384,27.436954,28.442948,29.89166,31.00248,30.1610501,32.463938,33.177421,34.1914781
        Iceland,net generation,Europe,7.6197,7.96676,8.34564,8.42864,8.55176,8.6157,9.85676,11.89288,16.34288,16.71088,16.746003,16.850998,17.295999,17.999998,17.803,18.558001,18.171608,18.846295,19.4324979,19.119793,18.778694,19.2629881
        Ireland,net generation,Europe,22.17072,23.0527,23.24434,23.23862,23.58174,24.00882,25.42254,26.142,28.127,26.296,27.165581,26.372895,26.202849,24.618802,24.904899,27.189981,29.259077,29.879721,29.9323625,29.8700272,30.9904099,33.5958721
        Italy,net generation,Europe,253.21828,255.25074,259.79924,264.89276,277.3016,278.1547,288.70848,289.4176,295.01606,272.7457,288.117063,291.006684,287.426111,278.836768,269.699149,273.399218,279.976334,285.629453,280.369202,263.7055922,272.4289509,274.1786604
        Kosovo,net generation,Europe,--,--,--,--,--,--,--,--,4.856,4.684,4.86534,5.46124,5.59418,6.14408,5.1199,5.76226,5.9821,5.919127,5.913045,6.346475,6.710489,6.337975
        Latvia,net generation,Europe,4.02922,4.16554,3.8596,3.85378,4.56842,4.78348,4.7377,4.62742,5.11928,5.41322,6.080051,5.582804,5.770285,5.852735,4.813333,5.184397,6.033633,7.17202,6.317738,6.052739,5.5190101,5.5384285
